
============================================================
GENERATING ANALYSIS REPORT
============================================================

--- Summary for Metapath Length 2 ---
| Dataset      |   Length | Method     |   K |       Edges_Mean |   Prep_Mean |   Infer_Mean |   Total_Mean |
| Dataset      |   Length | Method     |   K |       Edges_Mean |   Prep_Mean |   Infer_Mean |   Total_Mean |
|:-------------|---------:|:-----------|----:|-----------------:|------------:|-------------:|-------------:|
| HGB_DBLP     |        4 | Exact      |   0 |      5.00455e+06 |  0.122301   |   0.0771009  |    0.199402  |
| HGB_DBLP     |        4 | KMV (K=2)  |   2 |  20260.3         |  0.00933409 |   0.00106527 |    0.0103994 |
| HGB_DBLP     |        4 | KMV (K=4)  |   4 |  36458.3         |  0.011155   |   0.0018002  |    0.0129552 |
| HGB_DBLP     |        4 | KMV (K=8)  |   8 |  68709.7         |  0.00938288 |   0.00206517 |    0.0114481 |
| HGB_DBLP     |        4 | KMV (K=16) |  16 | 133010           |  0.0122198  |   0.00315617 |    0.015376  |
| HGB_DBLP     |        4 | KMV (K=32) |  32 | 260238           |  0.013501   |   0.0048508  |    0.0183518 |
| HGB_ACM      |        4 | Exact      |   0 |      9.15365e+06 | 28.1133     |   0.060023   |   28.1734    |
| HGB_ACM      |        4 | KMV (K=2)  |   2 |  15119           |  0.0214946  |   0.00242827 |    0.0239229 |
| HGB_ACM      |        4 | KMV (K=4)  |   4 |  27205           |  0.0381441  |   0.00221977 |    0.0403639 |
| HGB_ACM      |        4 | KMV (K=8)  |   8 |  51353           |  0.0768976  |   0.00391357 |    0.0808112 |
| HGB_ACM      |        4 | KMV (K=16) |  16 |  99553           |  0.122341   |   0.00509453 |    0.127435  |
| HGB_ACM      |        4 | KMV (K=32) |  32 | 195569           |  0.196231   |   0.00574147 |    0.201973  |
| HGB_IMDB     |        4 | Exact      |   0 |      9.078e+06   |  0.206039   |   0.144886   |    0.350925  |
| HGB_IMDB     |        4 | KMV (K=2)  |   2 |  24274.7         |  0.0207359  |   0.00303697 |    0.0237729 |
| HGB_IMDB     |        4 | KMV (K=4)  |   4 |  43560           |  0.0240383  |   0.00812913 |    0.0321674 |
| HGB_IMDB     |        4 | KMV (K=8)  |   8 |  82014           |  0.0188943  |   0.00491523 |    0.0238095 |
| HGB_IMDB     |        4 | KMV (K=16) |  16 | 158232           |  0.0170014  |   0.00854427 |    0.0255457 |
| HGB_IMDB     |        4 | KMV (K=32) |  32 | 307816           |  0.0339437  |   0.013109   |    0.0470528 |
| HGB_Freebase |        4 | Exact      |   0 |      1.18537e+07 | 36.7998     |   2.58375    |   39.3835    |
| HGB_Freebase |        4 | KMV (K=2)  |   2 |  45318           |  0.012783   |   0.00273453 |    0.0155175 |
| HGB_Freebase |        4 | KMV (K=4)  |   4 |  50236           |  0.0134499  |   0.00114247 |    0.0145924 |
| HGB_Freebase |        4 | KMV (K=8)  |   8 |  59973.3         |  0.0193408  |   0.00136787 |    0.0207087 |
| HGB_Freebase |        4 | KMV (K=16) |  16 |  79314           |  0.0273325  |   0.00211407 |    0.0294466 |
| HGB_Freebase |        4 | KMV (K=32) |  32 | 116680           |  0.0713119  |   0.00444247 |    0.0757543 |
| OGB_MAG      |        4 | Exact      |   0 |     -1           | -1          |  -1          |   -1         |
| OGB_MAG      |        4 | KMV (K=2)  |   2 |      2.95638e+06 |  3.94974    |   5.93291    |    9.88265   |
| OGB_MAG      |        4 | KMV (K=4)  |   4 |     -1           | -1          |  -1          |   -1         |
| OGB_MAG      |        4 | KMV (K=8)  |   8 |     -1           | -1          |  -1          |   -1         |
| OGB_MAG      |        4 | KMV (K=16) |  16 |     -1           | -1          |  -1          |   -1         |
| OGB_MAG      |        4 | KMV (K=32) |  32 |     -1           | -1          |  -1          |   -1         |
| PyG_IMDB     |        4 | Exact      |   0 |  21724           |  0.0174315  |   0.0103728  |    0.0278043 |
| PyG_IMDB     |        4 | KMV (K=2)  |   2 |  11452           |  0.0278904  |   0.0133738  |    0.0412641 |
| PyG_IMDB     |        4 | KMV (K=4)  |   4 |  14526           |  0.0221821  |   0.0120407  |    0.0342227 |
| PyG_IMDB     |        4 | KMV (K=8)  |   8 |  16652           |  0.0254294  |   0.0107013  |    0.0361307 |
| PyG_IMDB     |        4 | KMV (K=16) |  16 |  17384           |  0.0329373  |   0.0105044  |    0.0434417 |
| PyG_IMDB     |        4 | KMV (K=32) |  32 |  17446           |  0.0298487  |   0.0121792  |    0.0420278 |
| PyG_DBLP     |        4 | Exact      |   0 |      7.04763e+06 |  0.310503   |   0.107657   |    0.41816   |
| PyG_DBLP     |        4 | KMV (K=2)  |   2 |  20260.3         |  0.0340662  |   0.00422477 |    0.038291  |
| PyG_DBLP     |        4 | KMV (K=4)  |   4 |  36449.7         |  0.0350866  |   0.0028143  |    0.0379009 |
| PyG_DBLP     |        4 | KMV (K=8)  |   8 |  68746.3         |  0.0427373  |   0.00529213 |    0.0480295 |
| PyG_DBLP     |        4 | KMV (K=16) |  16 | 133177           |  0.0435735  |   0.0071211  |    0.0506946 |
| PyG_DBLP     |        4 | KMV (K=32) |  32 | 261110           |  0.0667934  |   0.0106634  |    0.0774568 |
| PyG_AMiner   |        4 | Exact      |   0 |     -1           | -1          |  -1          |   -1         |
| PyG_AMiner   |        4 | KMV (K=2)  |   2 |      7.68578e+06 |  0.505181   |   1.19982    |    1.70501   |
| PyG_AMiner   |        4 | KMV (K=4)  |   4 |      1.33044e+07 |  1.37022    |   1.35063    |    2.72086   |
| PyG_AMiner   |        4 | KMV (K=8)  |   8 |      2.38856e+07 | 17.7993     |   4.85574    |   22.655     |
| PyG_AMiner   |        4 | KMV (K=16) |  16 |     -1           | -1          |  -1          |   -1         |
| PyG_AMiner   |        4 | KMV (K=32) |  32 |     -1           | -1          |  -1          |   -1         |
