Dataset,L,Method,k,w_prime,Seed,Edge_Count,Mat_Time_s,Macro_F1,CKA,Pred_Agreement
HGB_IMDB,4,KGRW,8,1,43,12926,0.0025,0.566664,0.987,0.977703
HGB_IMDB,4,KGRW,8,1,44,12850,0.0027,0.564422,0.987194,0.978378
HGB_IMDB,4,KGRW,8,1,45,12716,0.0025,0.563408,0.983219,0.970608
HGB_IMDB,4,KGRW,8,1,46,12822,0.0025,0.562611,0.983829,0.971622
HGB_IMDB,4,KGRW,8,4,42,14948,0.0034,0.5658,0.999482,0.996622
HGB_IMDB,4,KGRW,8,4,43,14964,0.0037,0.565585,0.998917,0.99527
HGB_IMDB,4,KGRW,8,4,44,14964,0.0035,0.565035,0.999231,0.996959
HGB_IMDB,4,KGRW,8,4,45,14948,0.0031,0.565523,0.998649,0.992905
HGB_IMDB,4,KGRW,8,4,46,14948,0.005,0.565566,0.998799,0.993581
HGB_IMDB,4,KGRW,8,16,42,14996,0.0057,0.566037,0.999475,0.996959
HGB_IMDB,4,KGRW,8,16,43,14996,0.0062,0.565435,0.999563,0.995608
HGB_IMDB,4,KGRW,8,16,44,14996,0.0095,0.565035,0.99964,0.997297
HGB_IMDB,4,KGRW,8,16,45,14996,0.0056,0.565579,0.999028,0.993243
HGB_IMDB,4,KGRW,8,16,46,14996,0.006,0.565717,0.999255,0.993581
HGB_IMDB,4,KGRW,16,1,42,14314,0.0027,0.562965,0.993047,0.979054
HGB_IMDB,4,KGRW,16,1,43,14548,0.0027,0.566567,0.995313,0.98277
HGB_IMDB,4,KGRW,16,1,44,14458,0.003,0.566859,0.995364,0.985473
HGB_IMDB,4,KGRW,16,1,45,14440,0.0028,0.564334,0.995806,0.980405
HGB_IMDB,4,KGRW,16,1,46,14396,0.0044,0.563337,0.993691,0.981757
HGB_IMDB,4,KGRW,16,4,42,16174,0.0051,0.56512,0.999964,0.998986
HGB_IMDB,4,KGRW,16,4,43,16206,0.0033,0.565086,0.999978,0.999662
HGB_IMDB,4,KGRW,16,4,44,16174,0.0041,0.566042,0.9996,0.999324
HGB_IMDB,4,KGRW,16,4,45,16206,0.0043,0.565037,0.999959,0.999662
HGB_IMDB,4,KGRW,16,4,46,16206,0.0105,0.564828,0.999981,0.999662
HGB_IMDB,4,KGRW,16,16,42,16206,0.0061,0.56512,0.99997,0.999324
HGB_IMDB,4,KGRW,16,16,43,16206,0.007,0.565086,0.999978,0.999662
