Dataset,L,Method,k,w_prime,Seed,Edge_Count,Mat_Time_s,Macro_F1,CKA,Pred_Agreement
HGB_ACM,2,KGRW,4,32,42,37412,0.0077,0.904789,0.991456,0.976872
HGB_ACM,2,KGRW,4,32,43,37534,0.0143,0.902521,0.990243,0.97467
HGB_ACM,2,KGRW,4,32,44,36868,0.0093,0.8961,0.99185,0.979075
HGB_ACM,2,KGRW,4,32,45,37962,0.0077,0.904191,0.991282,0.976872
HGB_ACM,2,KGRW,4,32,46,37780,0.0078,0.90033,0.99078,0.974119
HGB_ACM,2,KGRW,4,64,42,41756,0.0249,0.90316,0.992513,0.978524
HGB_ACM,2,KGRW,4,64,43,41956,0.0113,0.902497,0.991353,0.976872
HGB_ACM,2,KGRW,4,64,44,41008,0.0119,0.892261,0.99306,0.984031
HGB_ACM,2,KGRW,4,64,45,42792,0.0116,0.903168,0.992829,0.977423
HGB_ACM,2,KGRW,4,64,46,42420,0.0207,0.901399,0.991781,0.97522
HGB_ACM,2,KGRW,4,128,42,44504,0.0181,0.903187,0.993261,0.978524
HGB_ACM,2,KGRW,4,128,43,44622,0.0184,0.901918,0.992076,0.978524
HGB_ACM,2,KGRW,4,128,44,43532,0.0181,0.892814,0.993661,0.985683
HGB_ACM,2,KGRW,4,128,45,45622,0.018,0.901538,0.993506,0.980176
HGB_ACM,2,KGRW,4,128,46,45440,0.0317,0.899848,0.99228,0.974119
HGB_ACM,2,KGRW,4,256,42,45668,0.0323,0.90269,0.993661,0.979075
HGB_ACM,2,KGRW,4,256,43,45868,0.0284,0.902469,0.992204,0.977974
HGB_ACM,2,KGRW,4,256,44,44538,0.0311,0.89337,0.993915,0.986233
HGB_ACM,2,KGRW,4,256,45,46942,0.0286,0.902638,0.993607,0.979075
HGB_ACM,2,KGRW,4,256,46,46902,0.0309,0.900924,0.992627,0.974119
HGB_ACM,2,KGRW,4,512,42,46092,0.0515,0.902637,0.993779,0.979075
HGB_ACM,2,KGRW,4,512,43,46274,0.0492,0.903024,0.992323,0.978524
HGB_ACM,2,KGRW,4,512,44,44808,0.0495,0.893316,0.994021,0.987335
HGB_ACM,2,KGRW,4,512,45,47404,0.0526,0.902638,0.993732,0.979075
HGB_ACM,2,KGRW,4,512,46,47492,0.0503,0.900924,0.992682,0.974119
HGB_ACM,2,KGRW,8,2,42,24304,0.0033,0.906432,0.981919,0.96696
HGB_ACM,2,KGRW,8,2,43,24488,0.0033,0.908641,0.981378,0.96696
HGB_ACM,2,KGRW,8,2,44,24484,0.0032,0.906943,0.980895,0.967511
HGB_ACM,2,KGRW,8,2,45,24060,0.0032,0.904767,0.980462,0.968612
HGB_ACM,2,KGRW,8,2,46,24196,0.0032,0.908655,0.981065,0.965308
HGB_ACM,2,KGRW,8,4,42,31914,0.0043,0.90195,0.98704,0.970264
HGB_ACM,2,KGRW,8,4,43,31766,0.0042,0.907503,0.985614,0.971366
HGB_ACM,2,KGRW,8,4,44,31994,0.0039,0.904833,0.986553,0.972467
HGB_ACM,2,KGRW,8,4,45,31596,0.004,0.908497,0.986834,0.973568
HGB_ACM,2,KGRW,8,4,46,31658,0.004,0.907568,0.986476,0.971916
HGB_ACM,2,KGRW,8,8,42,40414,0.0065,0.898784,0.989838,0.973018
HGB_ACM,2,KGRW,8,8,43,40520,0.0098,0.903658,0.990465,0.97467
HGB_ACM,2,KGRW,8,8,44,40788,0.0057,0.899752,0.990576,0.977423
HGB_ACM,2,KGRW,8,8,45,40638,0.0056,0.904715,0.990786,0.97467
HGB_ACM,2,KGRW,8,8,46,40056,0.0052,0.905335,0.989905,0.974119
HGB_ACM,2,KGRW,8,16,42,49716,0.0077,0.896068,0.993375,0.980176
HGB_ACM,2,KGRW,8,16,43,50276,0.0076,0.901054,0.993484,0.980727
HGB_ACM,2,KGRW,8,16,44,49752,0.0085,0.897182,0.9939,0.982379
HGB_ACM,2,KGRW,8,16,45,50264,0.0077,0.900879,0.992776,0.980727
HGB_ACM,2,KGRW,8,16,46,49920,0.0075,0.902047,0.993279,0.978524
HGB_ACM,2,KGRW,8,32,42,58804,0.0144,0.898693,0.995552,0.981828
HGB_ACM,2,KGRW,8,32,43,59238,0.013,0.896679,0.995585,0.985132
HGB_ACM,2,KGRW,8,32,44,58682,0.0122,0.896157,0.995679,0.984581
HGB_ACM,2,KGRW,8,32,45,59718,0.0199,0.898753,0.995038,0.984031
HGB_ACM,2,KGRW,8,32,46,59248,0.0117,0.900985,0.995195,0.980727
HGB_ACM,2,KGRW,8,64,42,65400,0.0183,0.89927,0.996461,0.98348
HGB_ACM,2,KGRW,8,64,43,66260,0.0219,0.897171,0.996411,0.986233
HGB_ACM,2,KGRW,8,64,44,65420,0.017,0.89395,0.996675,0.987885
HGB_ACM,2,KGRW,8,64,45,67284,0.0167,0.897145,0.996554,0.985683
HGB_ACM,2,KGRW,8,64,46,66334,0.0169,0.897722,0.996254,0.985132
HGB_ACM,2,KGRW,8,128,42,69504,0.0271,0.897668,0.997048,0.986233
HGB_ACM,2,KGRW,8,128,43,70464,0.0291,0.897148,0.9971,0.988987
HGB_ACM,2,KGRW,8,128,44,69538,0.0265,0.894997,0.997155,0.991189
HGB_ACM,2,KGRW,8,128,45,71718,0.0261,0.896561,0.997063,0.988436
HGB_ACM,2,KGRW,8,128,46,70756,0.0266,0.898274,0.996538,0.984581
HGB_ACM,2,KGRW,8,256,42,71334,0.0453,0.897095,0.997306,0.987885
HGB_ACM,2,KGRW,8,256,43,72586,0.0425,0.895439,0.997227,0.990639
HGB_ACM,2,KGRW,8,256,44,71334,0.0416,0.895026,0.997297,0.992291
HGB_ACM,2,KGRW,8,256,45,73892,0.0628,0.896616,0.997261,0.988436
HGB_ACM,2,KGRW,8,256,46,72964,0.0584,0.899328,0.996816,0.986784
HGB_ACM,2,KGRW,8,512,42,72002,0.0736,0.897095,0.997385,0.987885
HGB_ACM,2,KGRW,8,512,43,73334,0.0678,0.895991,0.997314,0.990088
HGB_ACM,2,KGRW,8,512,44,71862,0.0723,0.895026,0.99735,0.992291
HGB_ACM,2,KGRW,8,512,45,74660,0.0685,0.897171,0.99735,0.988987
HGB_ACM,2,KGRW,8,512,46,73840,0.0711,0.899328,0.99687,0.986784
HGB_ACM,2,KGRW,16,2,42,33678,0.0059,0.904971,0.986181,0.973018
HGB_ACM,2,KGRW,16,2,43,34098,0.0039,0.904854,0.986385,0.975771
HGB_ACM,2,KGRW,16,2,44,34070,0.0039,0.905282,0.985305,0.972467
HGB_ACM,2,KGRW,16,2,45,33626,0.0077,0.906461,0.985027,0.971366
HGB_ACM,2,KGRW,16,2,46,33744,0.006,0.907597,0.986278,0.968612
HGB_ACM,2,KGRW,16,4,42,44614,0.0059,0.900945,0.990429,0.97467
HGB_ACM,2,KGRW,16,4,43,44668,0.006,0.900259,0.989618,0.978524
HGB_ACM,2,KGRW,16,4,44,44686,0.0054,0.902169,0.98978,0.977423
HGB_ACM,2,KGRW,16,4,45,44738,0.0048,0.904663,0.990337,0.97467
HGB_ACM,2,KGRW,16,4,46,44478,0.005,0.905448,0.990645,0.976322
HGB_ACM,2,KGRW,16,8,42,57888,0.0079,0.898318,0.993254,0.979075
HGB_ACM,2,KGRW,16,8,43,57772,0.0077,0.894923,0.993796,0.98348
HGB_ACM,2,KGRW,16,8,44,58036,0.0074,0.900459,0.993634,0.980176
HGB_ACM,2,KGRW,16,8,45,57928,0.0073,0.900268,0.994378,0.981278
HGB_ACM,2,KGRW,16,8,46,57080,0.0073,0.903799,0.993869,0.977974
HGB_ACM,2,KGRW,16,16,42,71604,0.011,0.896593,0.995985,0.985132
HGB_ACM,2,KGRW,16,16,43,72346,0.0162,0.894558,0.996525,0.988436
HGB_ACM,2,KGRW,16,16,44,71402,0.0118,0.896162,0.996528,0.985683
HGB_ACM,2,KGRW,16,16,45,71864,0.012,0.901432,0.996057,0.984581
HGB_ACM,2,KGRW,16,16,46,71864,0.0129,0.897802,0.996786,0.987335
HGB_ACM,2,KGRW,16,32,42,84110,0.0162,0.895573,0.997728,0.987335
HGB_ACM,2,KGRW,16,32,43,84948,0.02,0.893923,0.997948,0.992291
HGB_ACM,2,KGRW,16,32,44,84118,0.0202,0.895054,0.998017,0.987885
HGB_ACM,2,KGRW,16,32,45,84544,0.0156,0.89721,0.997431,0.988987
HGB_ACM,2,KGRW,16,32,46,84720,0.0163,0.897748,0.998113,0.988436
HGB_ACM,2,KGRW,16,64,42,93104,0.0272,0.895573,0.998625,0.99174
HGB_ACM,2,KGRW,16,64,43,94092,0.0242,0.893894,0.998754,0.994493
HGB_ACM,2,KGRW,16,64,44,92952,0.0292,0.89287,0.9987,0.993392
HGB_ACM,2,KGRW,16,64,45,94026,0.029,0.896125,0.998746,0.992291
HGB_ACM,2,KGRW,16,64,46,94074,0.0276,0.895076,0.998633,0.992291
HGB_ACM,2,KGRW,16,128,42,98122,0.0386,0.895578,0.998931,0.992841
HGB_ACM,2,KGRW,16,128,43,99552,0.0377,0.893839,0.999145,0.995595
HGB_ACM,2,KGRW,16,128,44,98218,0.055,0.893422,0.998991,0.993943
HGB_ACM,2,KGRW,16,128,45,99500,0.0469,0.894498,0.999104,0.995044
HGB_ACM,2,KGRW,16,128,46,99742,0.0381,0.893918,0.998921,0.994493
HGB_ACM,2,KGRW,16,256,42,100528,0.061,0.896074,0.999085,0.994493
HGB_ACM,2,KGRW,16,256,43,102362,0.0643,0.893839,0.999266,0.995595
HGB_ACM,2,KGRW,16,256,44,100802,0.062,0.893974,0.999108,0.994493
HGB_ACM,2,KGRW,16,256,45,102314,0.0608,0.895601,0.999233,0.993943
HGB_ACM,2,KGRW,16,256,46,103102,0.062,0.893918,0.999107,0.994493
HGB_ACM,2,KGRW,16,512,42,101520,0.1143,0.896626,0.999114,0.993943
HGB_ACM,2,KGRW,16,512,43,103656,0.1078,0.893839,0.999338,0.995595
HGB_ACM,2,KGRW,16,512,44,101664,0.1003,0.893974,0.99916,0.994493
HGB_ACM,2,KGRW,16,512,45,103496,0.098,0.895601,0.999272,0.993943
HGB_ACM,2,KGRW,16,512,46,104498,0.0984,0.893388,0.999167,0.995044
HGB_ACM,2,KGRW,32,2,42,41394,0.0058,0.903745,0.987374,0.976322
HGB_ACM,2,KGRW,32,2,43,41558,0.0044,0.902073,0.988286,0.979075
HGB_ACM,2,KGRW,32,2,44,41782,0.0077,0.90473,0.987535,0.974119
HGB_ACM,2,KGRW,32,2,45,41320,0.0063,0.906454,0.98697,0.97467
HGB_ACM,2,KGRW,32,2,46,41386,0.0073,0.906498,0.987548,0.973018
HGB_ACM,2,KGRW,32,4,42,55646,0.0062,0.898152,0.991636,0.978524
HGB_ACM,2,KGRW,32,4,43,54890,0.0059,0.901918,0.991478,0.980727
HGB_ACM,2,KGRW,32,4,44,55434,0.0069,0.90162,0.991563,0.977974
HGB_ACM,2,KGRW,32,4,45,55668,0.0059,0.904135,0.9917,0.979626
HGB_ACM,2,KGRW,32,4,46,55054,0.0117,0.905442,0.992097,0.979626
HGB_ACM,2,KGRW,32,8,42,73128,0.0083,0.894482,0.994717,0.985132
HGB_ACM,2,KGRW,32,8,43,72318,0.009,0.895504,0.995165,0.984031
HGB_ACM,2,KGRW,32,8,44,73254,0.0185,0.897626,0.995522,0.984031
HGB_ACM,2,KGRW,32,8,45,73054,0.0154,0.898106,0.995734,0.985683
HGB_ACM,2,KGRW,32,8,46,71942,0.009,0.902116,0.995392,0.98293
HGB_ACM,2,KGRW,32,16,42,91484,0.0127,0.893897,0.997295,0.991189
HGB_ACM,2,KGRW,32,16,43,91766,0.0129,0.890672,0.997969,0.992291
HGB_ACM,2,KGRW,32,16,44,91084,0.0126,0.893291,0.998113,0.99174
HGB_ACM,2,KGRW,32,16,45,91730,0.0131,0.898782,0.997618,0.989537
HGB_ACM,2,KGRW,32,16,46,91294,0.0127,0.896621,0.99804,0.99174
HGB_ACM,2,KGRW,32,32,42,107302,0.026,0.89381,0.998901,0.993392
HGB_ACM,2,KGRW,32,32,43,107352,0.0216,0.890606,0.999056,0.995595
HGB_ACM,2,KGRW,32,32,44,107118,0.0199,0.891104,0.999278,0.995044
HGB_ACM,2,KGRW,32,32,45,107984,0.0201,0.892759,0.999102,0.995595
HGB_ACM,2,KGRW,32,32,46,107406,0.0202,0.894497,0.99922,0.993943
HGB_ACM,2,KGRW,32,64,42,117694,0.0322,0.891097,0.999698,0.998348
HGB_ACM,2,KGRW,32,64,43,117170,0.0314,0.891099,0.999632,0.998348
HGB_ACM,2,KGRW,32,64,44,117270,0.032,0.891068,0.999707,0.997247
HGB_ACM,2,KGRW,32,64,45,117928,0.031,0.891097,0.999703,0.998348
HGB_ACM,2,KGRW,32,64,46,117728,0.0325,0.89165,0.999666,0.997797
HGB_ACM,2,KGRW,32,128,42,122620,0.0511,0.892204,0.999822,0.998348
HGB_ACM,2,KGRW,32,128,43,122016,0.0542,0.891652,0.999837,0.997797
HGB_ACM,2,KGRW,32,128,44,122862,0.0593,0.891099,0.999856,0.998348
HGB_ACM,2,KGRW,32,128,45,122858,0.0548,0.89165,0.999834,0.998899
HGB_ACM,2,KGRW,32,128,46,122736,0.0516,0.892204,0.999838,0.998348
HGB_ACM,2,KGRW,32,256,42,124598,0.0811,0.89165,0.999868,0.998899
HGB_ACM,2,KGRW,32,256,43,124112,0.0822,0.891652,0.999896,0.997797
HGB_ACM,2,KGRW,32,256,44,125346,0.0814,0.891099,0.999905,0.998348
HGB_ACM,2,KGRW,32,256,45,125340,0.0857,0.891123,0.9999,0.999449
HGB_ACM,2,KGRW,32,256,46,125594,0.0823,0.892204,0.999908,0.998348
HGB_ACM,2,KGRW,32,512,42,125620,0.1355,0.891123,0.999874,0.999449
HGB_ACM,2,KGRW,32,512,43,125190,0.1342,0.891652,0.999911,0.997797
HGB_ACM,2,KGRW,32,512,44,126476,0.1361,0.891123,0.999921,0.999449
HGB_ACM,2,KGRW,32,512,45,126680,0.1369,0.89057,0.999931,1.0
HGB_ACM,2,KGRW,32,512,46,126816,0.1347,0.891123,0.999923,0.999449
HGB_ACM,2,KGRW,64,2,42,45810,0.005,0.90427,0.988043,0.975771
HGB_ACM,2,KGRW,64,2,43,46000,0.0047,0.90257,0.989016,0.980727
HGB_ACM,2,KGRW,64,2,44,46324,0.0048,0.903626,0.988074,0.97522
HGB_ACM,2,KGRW,64,2,45,45594,0.0046,0.905849,0.987915,0.97522
HGB_ACM,2,KGRW,64,2,46,45854,0.0055,0.90482,0.987896,0.973568
HGB_ACM,2,KGRW,64,4,42,61990,0.0067,0.897593,0.992316,0.980176
HGB_ACM,2,KGRW,64,4,43,60904,0.0063,0.901889,0.992089,0.981828
HGB_ACM,2,KGRW,64,4,44,61732,0.0068,0.902146,0.991901,0.979626
HGB_ACM,2,KGRW,64,4,45,62140,0.0066,0.901843,0.992606,0.980727
HGB_ACM,2,KGRW,64,4,46,61116,0.0065,0.90319,0.992427,0.981828
HGB_ACM,2,KGRW,64,8,42,82306,0.0095,0.893372,0.995617,0.986233
HGB_ACM,2,KGRW,64,8,43,80794,0.0103,0.896026,0.99557,0.986784
HGB_ACM,2,KGRW,64,8,44,82164,0.0127,0.897073,0.995793,0.985683
HGB_ACM,2,KGRW,64,8,45,82008,0.0154,0.898023,0.996042,0.985683
HGB_ACM,2,KGRW,64,8,46,80548,0.0173,0.898699,0.9958,0.986233
HGB_ACM,2,KGRW,64,16,42,103104,0.0181,0.892263,0.998136,0.992841
HGB_ACM,2,KGRW,64,16,43,103092,0.0144,0.892295,0.998381,0.993943
HGB_ACM,2,KGRW,64,16,44,102666,0.0144,0.892208,0.998466,0.993943
HGB_ACM,2,KGRW,64,16,45,103246,0.0145,0.896486,0.997948,0.99174
HGB_ACM,2,KGRW,64,16,46,102340,0.0145,0.894357,0.998343,0.993943
HGB_ACM,2,KGRW,64,32,42,120600,0.0244,0.891622,0.999473,0.995595
HGB_ACM,2,KGRW,64,32,43,120934,0.0377,0.891157,0.999444,0.996145
HGB_ACM,2,KGRW,64,32,44,120334,0.0313,0.890574,0.999581,0.996696
HGB_ACM,2,KGRW,64,32,45,121124,0.0228,0.891679,0.999384,0.996696
